team_name,player_name,player_full_name,GM,Min,Age,player_position,games_by_team,minutes_played_by_team,minutes_played_percentage,total_gross_salary,signed,contract_expiration,season,transfer_window,club_id_tmkt,player_id,transfer_price,contract_length_years,player_annual_fee,player_annual_cost,team_total_salary,team_total_fees,team_total_cost,player_annual_cost_percentage
Tigres UANL,N. Guzmán,Nahuel Guzmán,37,3329,39,Goalkeeper,37,3330,1.0,1500000.0,06-07-2023,30-06-2025,,,,,,2.0,,1500000,36450000.0,10285834,46735834,0.032
Tigres UANL,J. Brunetta,Juan Brunetta,37,3080,28,Central Midfielder,37,3330,0.92,1010000.0,06-08-2025,31-12-2027,,,,,,2.0,,1010000,36450000.0,10285834,46735834,0.022
Cruz Azul,É. Lira,Érik Lira,35,3068,25,Central Defender,35,3150,0.97,1880000.0,16-10-2025,30-06-2029,,,,,,4.0,,1880000,23380000.0,28637500,52017500,0.036
Cruz Azul,K. Mier,Kevin Mier,34,3060,25,Goalkeeper,35,3150,0.97,1060000.0,30-05-2024,30-06-2029,,,,,,5.0,,1060000,23380000.0,28637500,52017500,0.02
Cruz Azul,W. Ditta,Willer Ditta,34,2964,28,Right Centre Back,35,3150,0.94,1060000.0,12-07-2024,30-06-2028,,,,,,4.0,,1060000,23380000.0,28637500,52017500,0.02
Toluca,F. Pereira,Federico Pereira,34,2930,25,Left Centre Back,34,3060,0.96,1310000.0,02-11-2024,30-06-2028,,,,,,4.0,,1310000,25380000.0,25421667,50801667,0.026
Pachuca,Eduardo Bauermann,Eduardo Bauermann,32,2880,29,Right Centre Back,32,2880,1.0,890000.0,01-01-2025,30-06-2026,,,,,,1.0,,890000,18330000.0,0,18330000,0.049
Pachuca,C. Moreno,Carlos Moreno,32,2880,27,Goalkeeper,32,2880,1.0,300000.0,15-08-2023,30-06-2026,,,,,,3.0,,300000,18330000.0,0,18330000,0.016
Tigres UANL,J. Aquino,Javier Aquino,33,2807,35,Right Back,37,3330,0.84,1210000.0,20-09-2024,31-12-2025,,,,,,1.0,,1210000,36450000.0,10285834,46735834,0.026
Monterrey,G. Berterame,Germán Berterame,33,2752,27,Centre Forward,36,3240,0.85,2250000.0,28-11-2024,31-12-2027,,,,,,3.0,,2250000,47650000.0,10834167,61864167,0.036
