team_name,player_name,minutes_played_percentage,player_annual_cost_percentage,talent_cost_utilization_per_player
Tigres UANL,N. Guzmán,1.0,0.032,0.032
Tigres UANL,J. Brunetta,0.92,0.022,0.02024
Cruz Azul,É. Lira,0.97,0.036,0.03492
Cruz Azul,K. Mier,0.97,0.02,0.0194
Cruz Azul,W. Ditta,0.94,0.02,0.0188
Toluca,F. Pereira,0.96,0.026,0.02496
Pachuca,Eduardo Bauermann,1.0,0.049,0.049
Pachuca,C. Moreno,1.0,0.016,0.016
Tigres UANL,J. Aquino,0.84,0.026,0.02184
Monterrey,G. Berterame,0.85,0.038,0.032299999999999995
Club América,I. Reyes,0.87,0.015,0.013049999999999999
Club América,L. Malagón,0.84,0.016,0.01344
Club América,Á. Zendejas,0.84,0.002,0.00168
Pachuca,A. Aceves,0.91,0.024,0.021840000000000002
Cruz Azul,C. Rodríguez,0.83,0.038,0.03154
Pumas UNAM,J. Caicedo,0.9,0.024,0.0216
Cruz Azul,J. Sánchez,0.81,0.052,0.04212
Tigres UANL,J. Purata,0.76,0.011,0.00836
Juárez,S. Jurado,1.0,0.056,0.056
Cruz Azul,C. Rotondi,0.8,0.022,0.0176
Guadalajara,B. González,0.93,0.135,0.12555000000000002
Club América,É. Sánchez,0.79,0.088,0.06952
Toluca,M. Ruíz,0.81,0.016,0.012960000000000001
Monterrey,G. Arteaga,0.76,0.026,0.01976
Tigres UANL,F. Gorriarán,0.73,0.062,0.04526
Necaxa,A. Palavecino,0.94,0.094,0.08836
Necaxa,E. Unsain,0.93,0.023,0.02139
Guadalajara,R. Rangel,0.9,0.014,0.0126
Club América,Álvaro Fidalgo,0.77,0.007,0.00539
Monterrey,J. Rodríguez,0.74,0.042,0.03108
Club América,C. Borja,0.76,0.011,0.00836
Pumas UNAM,P. Bennevendo,0.83,0.01,0.0083
Toluca,A. Vega,0.78,0.03,0.0234
Tigres UANL,D. Lainez,0.71,0.049,0.03479
Juárez,D. García,0.94,0.021,0.01974
Monterrey,S. Medina,0.73,0.015,0.01095
Pumas UNAM,A. Carrasquilla,0.82,0.153,0.12546
Toluca,J. Gallardo,0.77,0.055,0.04235
Toluca,Paulinho,0.76,0.215,0.1634
Pachuca,E. Montiel,0.81,0.013,0.01053
Monterrey,Sergio Ramos,0.71,0.079,0.05609
Necaxa,K. Rosero,0.88,0.019,0.01672
Cruz Azul,I. Rivero,0.73,0.01,0.0073
Pumas UNAM,Nathan Silva,0.79,0.037,0.02923
Guadalajara,L. Romo,0.84,0.154,0.12936
León,S. Reyes,0.9,0.069,0.06210000000000001
León,S. Barreiro,0.89,0.02,0.0178
Monterrey,Óliver Torres,0.69,0.096,0.06624
Atlético San Luis,E. Águila,0.96,0.013,0.01248
Tigres UANL,Rômulo,0.67,0.063,0.042210000000000004
León,R. Echeverría,0.88,0.105,0.0924
Cruz Azul,J. Paradela,0.7,0.08,0.055999999999999994
Tijuana,J. Porozo,0.93,0.037,0.03441
Atlético San Luis,J. Sanabria,0.93,0.009,0.008369999999999999
Monterrey,Sergio Canales,0.67,0.132,0.08844
Cruz Azul,Á. Sepúlveda,0.69,0.014,0.00966
Cruz Azul,G. Piovi,0.69,0.01,0.0069
Juárez,J. Rodríguez,0.86,0.069,0.059340000000000004
Atlético San Luis,A. Sánchez,0.92,0.032,0.02944
Santos Laguna,C. Acevedo,1.0,0.035,0.035
Toluca,F. Romero,0.71,0.025,0.01775
Mazatlán,F. Almada,0.95,0.031,0.029449999999999997
Club América,S. Cáceres,0.68,0.022,0.01496
Toluca,J. Angulo,0.69,0.018,0.012419999999999999
Club América,R. Juárez,0.67,0.008,0.00536
Club América,K. Álvarez,0.66,0.021,0.01386
Pumas UNAM,Rubén Duarte,0.72,0.139,0.10008
Tigres UANL,Joaquim,0.63,0.093,0.05859
Atlético San Luis,S. Salles-Lamonge,0.88,0.032,0.02816
Tigres UANL,N. Ibáñez,0.62,0.025,0.0155
Tijuana,A. Rodríguez,0.88,0.006,0.00528
Atlas,U. Durdevic,0.9,0.085,0.07650000000000001
Juárez,A. Mayorga,0.8,0.061,0.0488
Puebla,J. Fedorco,0.86,0.008,0.00688
Cruz Azul,L. Faravelli,0.63,0.013,0.00819
Necaxa,A. Peña,0.76,0.007,0.00532
Monterrey,R. Chávez,0.61,0.064,0.03904
Atlas,C. Vargas,0.88,0.045,0.039599999999999996
Santos Laguna,J. Güémez,0.91,0.041,0.03731
Mazatlán,N. Benedetti,0.87,0.068,0.059160000000000004
Juárez,M. Mosquera,0.78,0.013,0.01014
Santos Laguna,J. Abella,0.9,0.18,0.162
Toluca,D. Barbosa,0.63,0.062,0.03906
Guadalajara,D. Campillo,0.71,0.052,0.036919999999999994
Atlético San Luis,Rodrigo Dourado,0.81,0.031,0.02511
Atlético San Luis,R. Torres,0.81,0.011,0.00891
Cruz Azul,J. Orozco,0.59,0.229,0.13511
Juárez,Madson,0.74,0.06,0.044399999999999995
Tigres UANL,J. Angulo,0.56,0.014,0.007840000000000001
Santos Laguna,A. López,0.86,0.024,0.02064
León,N. Fonseca,0.73,0.058,0.04234
Atlético San Luis,Ó. Macías,0.78,0.032,0.024960000000000003
Puebla,E. Gómez,0.78,0.122,0.09516
Pumas UNAM,J. Ruvalcaba,0.63,0.011,0.0069299999999999995
Tijuana,F. Boya,0.77,0.05,0.038500000000000006
Tijuana,A. Gómez,0.77,0.005,0.00385
Atlas,Gustavo Ferrareis,0.8,0.05,0.04000000000000001
Tijuana,K. Castañeda,0.77,0.003,0.00231
Necaxa,I. Rodríguez,0.69,0.054,0.037259999999999995
Puebla,R. Marín,0.76,0.028,0.02128
Pumas UNAM,G. Martínez,0.61,0.047,0.02867
Toluca,B. Méndez,0.58,0.03,0.0174
León,J. Rodríguez,0.7,0.203,0.1421
Guadalajara,R. Alvarado,0.65,0.063,0.04095
Mazatlán,J. Sierra,0.78,0.119,0.09282
Necaxa,D. de Buen,0.67,0.095,0.06365
Monterrey,L. Ocampos,0.53,0.127,0.06731000000000001
Juárez,Guilherme Castilho,0.68,0.101,0.06868
Atlas,Matheus Dória,0.77,0.0,0.0
Pachuca,P. Pedraza,0.6,0.024,0.0144
Club América,B. Rodríguez,0.54,0.023,0.01242
Tigres UANL,O. Herrera,0.51,0.008,0.00408
Querétaro,L. Rodríguez,0.84,0.117,0.09828
Guadalajara,G. Sepúlveda,0.61,0.027,0.01647
Cruz Azul,M. Bogusz,0.53,0.21,0.1113
Tijuana,A. Preciado,0.71,0.024,0.01704
Monterrey,J. Corona,0.51,0.049,0.024990000000000002
Guadalajara,José Castillo Pérez,0.6,0.007,0.0042
Atlas,R. Lozano,0.72,0.0,0.0
Toluca,H. González,0.53,0.012,0.00636
Atlas,D. González,0.71,0.012,0.00852
Atlético San Luis,Miguel García,0.69,0.096,0.06624
Juárez,R. Pizarro,0.63,0.044,0.027719999999999998
Pumas UNAM,P. Vite,0.55,0.098,0.0539
Tijuana,I. Tona,0.68,0.013,0.00884
Tigres UANL,Á. Correa,0.48,0.133,0.06384000000000001
Pachuca,S. Barreto,0.55,0.031,0.017050000000000003
Pumas UNAM,S. Trigos,0.55,0.006,0.0033000000000000004
Puebla,J. González,0.67,0.055,0.03685
Atlas,G. Aguirre,0.7,0.011,0.007699999999999999
Atlas,A. Rocha,0.69,0.046,0.03174
León,F. Beltrán,0.61,0.139,0.08479
Club América,R. Zúñiga,0.49,0.061,0.02989
Monterrey,V. Guzmán,0.47,0.02,0.0094
Tijuana,A. Vega,0.65,0.01,0.006500000000000001
Tigres UANL,J. Garza,0.46,0.014,0.00644
Pachuca,A. Bautista,0.53,0.006,0.00318
Guadalajara,Efraín Álvarez,0.56,0.169,0.09464000000000002
Mazatlán,L. Merolla,0.67,0.03,0.0201
Mazatlán,B. Colula,0.67,0.044,0.02948
Pachuca,O. Idrissi,0.52,0.063,0.032760000000000004
Necaxa,C. Calderón,0.57,0.072,0.04103999999999999
Santos Laguna,R. Sordo,0.69,0.024,0.01656
Monterrey,N. Deossa,0.46,0.0,0.0
Pachuca,J. Cádiz,0.52,0.038,0.01976
León,S. Santos,0.58,0.003,0.00174
