club_name,club_id,club_url_name
CF América,3631,cf-america
Atlas Guadalajara,8590,atlas-guadalajara
Atlético de San Luis,40188,atletico-de-san-luis
CD Cruz Azul,3711,cd-cruz-azul
CD Guadalajara,6711,deportivo-guadalajara
FC Juárez,49283,fc-juarez
Club León FC,4941,club-leon-fc
Mazatlán FC,82696,mazatlan-fc
CF Monterrey,2407,cf-monterrey
Club Necaxa,1146,club-necaxa
CF Pachuca,4035,cf-pachuca
Club Puebla,5662,puebla-fc
Querétaro FC,4961,queretaro-fc
Santos Laguna,1403,santos-laguna
Tigres UANL,7055,tigres-uanl
Club Tijuana,13353,club-tijuana
Deportivo Toluca FC,1804,deportivo-toluca
Pumas UNAM,7633,unam-pumas
