club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Atletico San Luis,Julio Domínguez,"$ 15,000","$ 780,000","$ 200,000","$ 980,000","Jul 1, 2023","Jun 30, 2026",1,"$ 780,000",D,CB,37,Reserve
Atletico San Luis,João Pedro,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jul 1, 2025","Jun 30, 2026",1,"$ 700,000",F,CF,33,Starter
Atletico San Luis,Robson Bambu,"$ 12,308","$ 640,000","$ 160,000","$ 800,000","Sep 12, 2025","Jun 30, 2026",1,"$ 640,000",D,CB,27,Starter
Atletico San Luis,Aldo Cruz,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jan 1, 2024","Jun 30, 2026",1,"$ 450,000",D,LB,27,Reserve
Atletico San Luis,Juanpe,"$ 8,077","$ 420,000","$ 90,000","$ 530,000","Jul 3, 2025","May 31, 2027",2,"$ 840,000",D,CB,34,Reserve
Atletico San Luis,Sebastián Pérez Bouquet,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 2, 2025","Jun 30, 2026",1,"$ 280,000",F,AM,22,Starter
Atletico San Luis,Fidel Barajas,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 15, 2025","Jul 15, 2026",1,"$ 280,000",F,RW,19,Reserve
Atletico San Luis,José González,"$ 3,192","$ 270,000","$ 70,000","$ 340,000","Jan 1, 2024","Jun 30, 2026",1,"$ 270,000",F,CF,26,Reserve
Atletico San Luis,Gibrán Lajud,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Aug 21, 2025","Jun 30, 2026",1,"$ 250,000",K,GK,31,Reserve
Atletico San Luis,Óscar Macías,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Dec 18, 2024","Jun 30, 2027",2,"$ 500,000",F,AM,27,Starter
Atletico San Luis,Léo Bonatini,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jan 1, 2023","Dec 31, 2025",1,"$ 250,000",F,CF,31,Reserve
Atletico San Luis,Sébastien Salles-Lamonge,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Dec 16, 2024","Jun 30, 2026",1,"$ 250,000",M,CM,29,Starter
Atletico San Luis,Andrés Sánchez,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 1, 2021","Jun 30, 2026",1,"$ 250,000",K,GK,27,Starter
Atletico San Luis,Rodrigo Dourado,"$ 4,615","$ 240,000","$ 60,000","$ 300,000","Jul 1, 2022","Jun 30, 2025",1,"$ 240,000",M,DM,31,Reserve
Atletico San Luis,Mateo Klimowicz,"$ 4,231","$ 220,000","$ 60,000","$ 280,000","Jan 1, 2024","Jun 30, 2026",1,"$ 220,000",F,AM,25,Reserve
Atletico San Luis,Miguel García,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jan 2, 2025","Jun 30, 2026",1,"$ 180,000",M,CM,23,Starter
Atletico San Luis,Jahaziel Marchand,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 3, 2025","Jun 30, 2026",1,"$ 170,000",M,CM,23,Reserve
Atletico San Luis,Benjamín Galdames,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jun 29, 2021","Jun 30, 2026",1,"$ 120,000",F,RW,24,Starter
Atletico San Luis,Eduardo Águila,"$ 1,923","$ 100,000","$ 30,000","$ 130,000","Jul 20, 2020","Jun 30, 2025",1,"$ 100,000",D,CB,23,Starter
Atletico San Luis,César López,"$ 1,923","$ 100,000","$ 30,000","$ 130,000","Jul 1, 2023","Jun 30, 2025",1,"$ 100,000",K,GK,25,Reserve
Atletico San Luis,Gabriel Martínez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",D,CB,23,Reserve
Atletico San Luis,Daniel Guillén,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",D,CB,24,Reserve
Atletico San Luis,Carlos Rodas,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 3, 2025","Jun 30, 2026",1,"$ 90,000",K,GK,24,Reserve
Atletico San Luis,Román Torres,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2025","Jun 30, 2026",1,"$ 90,000",D,RB,20,Starter
Atletico San Luis,Ronaldo Nájera,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",F,AM,22,Reserve
Atletico San Luis,Yan Phillipe,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jan 31, 2024","Dec 31, 2026",1,"$ 70,000",F,AM,21,Reserve
Atletico San Luis,Jonatán Villal,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",F,AM,20,Reserve
Atletico San Luis,Juan Manuel Sana,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 5, 2023","Jun 30, 2026",1,"$ 70,000",D,LB,25,Starter
Atletico San Luis,Javier Suárez,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",D,RB,19,Reserve
