club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Cruz Azul,Mateusz Bogusz,"$ 40,192","$ 2,090,000","$ 310,000","$ 2,400,000","Jan 25, 2025","Dec 31, 2026",1,"$ 2,090,000",F,AM,24,Reserve
Cruz Azul,Carlos Rodríguez,"$ 28,846","$ 1,500,000","$ 500,000","$ 2,000,000","Aug 19, 2025","Dec 31, 2029",4,"$ 6,000,000",M,DM,28,Starter
Cruz Azul,Jorge Sánchez,"$ 28,846","$ 1,500,000","$ 230,000","$ 1,730,000","Jul 4, 2024","Jun 30, 2027",2,"$ 3,000,000",D,RB,27,Starter
Cruz Azul,Érik Lira,"$ 28,846","$ 1,500,000","$ 380,000","$ 1,880,000","Oct 16, 2025","Jun 30, 2029",4,"$ 6,000,000",M,DM,25,Starter
Cruz Azul,José Paradela,"$ 24,423","$ 1,270,000","$ 320,000","$ 1,590,000","Jul 11, 2025","Jun 30, 2029",4,"$ 5,080,000",M,CM,26,Starter
Cruz Azul,Gabriel Fernández,"$ 24,423","$ 1,270,000","$ 320,000","$ 1,590,000","Jan 1, 2024","Jun 30, 2026",1,"$ 1,270,000",F,CF,31,Starter
Cruz Azul,Luka Romero,"$ 20,385","$ 1,060,000","$ 270,000","$ 1,330,000","Jan 18, 2025","Jun 30, 2030",5,"$ 5,300,000",F,RW,20,Starter
Cruz Azul,Jesús Orozco Chiquete,"$ 17,692","$ 920,000","$ 230,000","$ 1,150,000","Jan 7, 2025","Jun 30, 2026",1,"$ 920,000",D,CB,23,Reserve
Cruz Azul,Carlos Rotondi,"$ 17,692","$ 920,000","$ 230,000","$ 1,150,000","Jul 18, 2024","Jun 30, 2028",3,"$ 2,760,000",F,LW,28,Starter
Cruz Azul,Willer Ditta,"$ 16,346","$ 850,000","$ 210,000","$ 1,060,000","Jul 12, 2024","Jun 30, 2028",3,"$ 2,550,000",D,CB,28,Starter
Cruz Azul,Kevin Mier,"$ 16,346","$ 850,000","$ 210,000","$ 1,060,000","May 30, 2024","Jun 30, 2029",4,"$ 3,400,000",K,GK,25,Starter
Cruz Azul,Omar Campos,"$ 16,346","$ 850,000","$ 210,000","$ 1,060,000","Jan 5, 2025","Jun 30, 2026",1,"$ 850,000",D,LB,23,Reserve
Cruz Azul,Ángel Márquez,"$ 11,538","$ 600,000","$ 150,000","$ 750,000","Jul 10, 2025","Jun 30, 2029",4,"$ 2,400,000",M,CM,25,Reserve
Cruz Azul,Ángel Sepúlveda,"$ 11,538","$ 600,000","$ 150,000","$ 750,000","Aug 29, 2023","Jun 30, 2026",1,"$ 600,000",F,CF,34,Reserve
Cruz Azul,Lorenzo Faravelli,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Aug 26, 2025","Dec 31, 2026",1,"$ 560,000",F,AM,32,Starter
Cruz Azul,Andrés Montaño,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 1, 2024","Jun 30, 2027",2,"$ 1,120,000",M,CM,23,Reserve
Cruz Azul,Ignacio Rivero,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jul 1, 2021","Jun 30, 2026",1,"$ 420,000",M,CM,33,Reserve
Cruz Azul,Gonzalo Piovi,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jan 1, 2024","Dec 31, 2026",1,"$ 420,000",D,CB,31,Starter
Cruz Azul,Andrés Gudiño,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jul 2, 2024","Jun 30, 2027",2,"$ 840,000",K,GK,28,Reserve
Cruz Azul,Carlos Vargas,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 18, 2023","Dec 31, 2026",1,"$ 370,000",D,LB,26,Reserve
Cruz Azul,Emmanuel Ochoa,"$ 5,385","$ 280,000","$ 90,000","$ 350,000","Jul 1, 2025","Jun 30, 2026",1,"$ 280,000",K,GK,20,Reserve
Cruz Azul,Amaury Morales,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2025","Jun 30, 2029",4,"$ 680,000",F,LW,19,Reserve
Cruz Azul,Fernando Sámano,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",F,CF,23,Reserve
Cruz Azul,Bryan Gamboa,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",F,CF,23,Reserve
Cruz Azul,Cristian Jiménez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",M,CM,23,Reserve
Cruz Azul,Amaury García,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",M,CM,23,Reserve
Cruz Azul,Raymundo Rubio,"$ 1,154","$ 60,000","$ 20,000","$ 80,000","Jul 1, 2024","Jun 30, 2026",1,"$ 60,000",D,CB,24,Reserve
