club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Guadalajara,Chicharito,"$ 57,692","$ 3,000,000","$ 2,000,000","$ 5,000,000","Jan 24, 2024","Jun 30, 2026",1,"$ 3,000,000",F,CF,37,Reserve
Guadalajara,Roberto Alvarado,"$ 48,077","$ 2,500,000","$ 630,000","$ 3,130,000","Sep 12, 2024","Jun 30, 2029",4,"$ 10,000,000",F,RW,27,Reserve
Guadalajara,Alan Pulido,"$ 40,577","$ 2,110,000","$ 530,000","$ 2,640,000","Jan 7, 2025","Dec 31, 2025",1,"$ 2,110,000",F,CF,34,Reserve
Guadalajara,Alan Mozo,"$ 23,077","$ 1,200,000","$ 300,000","$ 1,500,000","Sep 13, 2024","Jun 30, 2028",3,"$ 3,600,000",D,RB,28,Reserve
Guadalajara,Efraín Álvarez,"$ 23,077","$ 1,200,000","$ 300,000","$ 1,500,000","Jul 1, 2025","Jun 30, 2026",1,"$ 1,200,000",F,RW,23,Starter
Guadalajara,Cade Cowell,"$ 20,385","$ 1,060,000","$ 270,000","$ 1,500,000","Jan 15, 2024","Jun 30, 2026",1,"$ 1,020,000",F,LW,21,Reserve
Guadalajara,Luis Romo,"$ 20,385","$ 1,060,000","$ 270,000","$ 1,330,000","Jan 11, 2025","Jun 30, 2026",1,"$ 1,060,000",M,CM,30,Starter
Guadalajara,Miguel Tapias,"$ 20,385","$ 1,060,000","$ 270,000","$ 1,330,000","Jan 2, 2025","Dec 31, 2027",2,"$ 2,120,000",D,CB,28,Reserve
Guadalajara,Gilberto Sepúlveda,"$ 20,385","$ 1,060,000","$ 270,000","$ 1,330,000","Jun 12, 2024","Jun 30, 2028",3,"$ 3,180,000",D,CB,26,Reserve
Guadalajara,Erick Gutiérrez,"$ 19,231","$ 1,000,000","$ 250,000","$ 1,150,000","Jul 2, 2023","Jun 30, 2027",2,"$ 2,000,000",M,CM,30,Reserve
Guadalajara,Fernando González,"$ 19,231","$ 1,000,000","$ 250,000","$ 1,250,000","Sep 13, 2024","Jun 30, 2027",3,"$ 2,000,000",M,DM,31,Starter
Guadalajara,Richard Ledezma,"$ 18,846","$ 980,000","$ 250,000","$ 1,230,000","Jul 1, 2025","Jun 30, 2026",1,"$ 980,000",D,RB,25,Starter
Guadalajara,Isaác Brizuela,"$ 13,846","$ 720,000","$ 180,000","$ 900,000","Nov 3, 2022","Jun 30, 2026",1,"$ 720,000",F,RW,35,Reserve
Guadalajara,Diego Campillo,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 4, 2025","Jun 30, 2026",1,"$ 560,000",D,CB,23,Starter
Guadalajara,Raúl Rangel,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Sep 13, 2024","Jun 30, 2028",3,"$ 1,680,000",K,GK,25,Starter
Guadalajara,Bryan González,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 2, 2025","Jun 30, 2026",1,"$ 560,000",D,LB,22,Starter
Guadalajara,Omar Govea,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jul 1, 2024","Jun 30, 2027",2,"$ 900,000",M,DM,29,Starter
Guadalajara,Luis Olivas,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 1, 2021","Jun 30, 2026",1,"$ 350,000",D,CB,25,Reserve
Guadalajara,José Castillo,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 1, 2024","Jun 30, 2026",1,"$ 280,000",D,LB,23,Starter
Guadalajara,Daniel Aguirre,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 1, 2024","Jun 30, 2027",2,"$ 560,000",M,CM,26,Reserve
Guadalajara,Eduardo García,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 1, 2025","Jun 30, 2026",1,"$ 280,000",K,GK,23,Reserve
Guadalajara,Teun Wilke,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 1, 2025","Jun 30, 2026",1,"$ 280,000",F,CF,23,Reserve
Guadalajara,Óscar Whalley,"$ 2,500","$ 130,000","$ 30,000","$ 160,000","Jul 1, 2023","Jun 30, 2026",1,"$ 130,000",K,GK,31,Reserve
Guadalajara,Raúl Martínez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Sep 1, 2023","Jun 30, 2026",1,"$ 90,000",D,CB,22,Reserve
Guadalajara,Leonardo Sepúlveda,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2024","Jun 30, 2026",1,"$ 90,000",D,LB,24,Reserve
Guadalajara,Hugo Camberos,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 7, 2025","Jun 30, 2027",2,"$ 180,000",F,RW,18,Reserve
Guadalajara,Santiago Sandoval,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",F,AM,18,Starter
Guadalajara,Miguel Gómez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",D,RB,22,Reserve
Guadalajara,Yael Padilla,"$ 1,154","$ 60,000","$ 20,000","$ 80,000","Sep 1, 2023","Jun 30, 2026",1,"$ 60,000",F,RW,19,Reserve
Guadalajara,Armando González,"$ 1,154","$ 60,000","$ 20,000","$ 80,000","Jan 1, 2024","Dec 31, 2026",1,"$ 60,000",F,CF,22,Starter
