club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Leon,James Rodríguez,"$ 96,154","$ 5,000,000","$ 750,000","$ 5,750,000","Jan 13, 2025","Dec 31, 2025",1,"$ 5,000,000",F,AM,34,
Leon,Fernando Beltrán,"$ 20,385","$ 1,060,000","$ 280,000","$ 1,340,000","Jul 1, 2025","Jun 30, 2026",1,"$ 1,060,000",M,CM,27,
Leon,Rogelio Funes Mori,"$ 17,692","$ 920,000","$ 230,000","$ 1,150,000","Jul 24, 2025","Jul 31, 2026",1,"$ 920,000",F,CF,34,
Leon,Salvador Reyes,"$ 14,808","$ 770,000","$ 190,000","$ 960,000","Jul 1, 2024","Jun 30, 2026",1,"$ 770,000",D,LB,27,
Leon,Nicolás Fonseca,"$ 14,423","$ 750,000","$ 190,000","$ 940,000","Jan 15, 2025","Dec 31, 2028",3,"$ 2,250,000",M,DM,26,
Leon,Jordi Cortizo,"$ 12,308","$ 640,000","$ 160,000","$ 800,000","Aug 9, 2025","Jul 31, 2028",3,"$ 1,920,000",F,RW,29,
Leon,Rodrigo Echeverría,"$ 12,308","$ 640,000","$ 160,000","$ 800,000","Jan 22, 2025","Dec 31, 2027",2,"$ 1,280,000",M,DM,30,
Leon,José Alvarado,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Aug 6, 2025","Jun 30, 2026",1,"$ 560,000",F,CF,25,
Leon,Óscar Jiménez,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jul 1, 2024","Jun 30, 2026",1,"$ 450,000",K,GK,36,
Leon,Paul Bellón,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jul 1, 2022","Jun 30, 2026",1,"$ 450,000",D,CB,28,
Leon,Ismael Díaz,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jul 24, 2025","Jun 30, 2028",3,"$ 1,350,000",F,LW,28,
Leon,Stiven Barreiro,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Dec 10, 2020","May 31, 2026",1,"$ 450,000",D,CB,31,
Leon,Carlos Cisneros,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jan 2, 2025","Jun 30, 2026",1,"$ 350,000",F,LW,32,
Leon,Alfonso Blanco,"$ 6,346","$ 330,000","$ 80,000","$ 410,000","Jul 1, 2020","Jun 30, 2026",1,"$ 330,000",K,GK,38,
Leon,Ettson Ayón,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 1, 2024","Jun 30, 2026",1,"$ 300,000",F,CF,24,
Leon,Emilio Rodríguez,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 21, 2025","Jun 30, 2026",1,"$ 300,000",F,RW,22,
Leon,Óscar Villa,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 1, 2025","Jun 30, 2026",1,"$ 300,000",D,LB,24,
Leon,Valentín Gauthier,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 1, 2025","Jun 30, 2029",4,"$ 1,000,000",D,CB,22,
Leon,Paolo Medina,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 17, 2025","Jun 30, 2026",1,"$ 250,000",D,RB,26,
Leon,Daniel Arcila,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Aug 4, 2025","Jun 30, 2026",1,"$ 250,000",F,AM,23,
Leon,Iván Moreno,"$ 2,885","$ 150,000","$ 40,000","$ 190,000","Jul 1, 2023","Jun 30, 2026",1,"$ 150,000",D,RB,27,
Leon,David Ramírez,"$ 2,500","$ 130,000","$ 30,000","$ 160,000","Jul 1, 2020","Jun 30, 2026",1,"$ 130,000",D,RB,29,
Leon,Ángel Estrada,"$ 2,500","$ 130,000","$ 30,000","$ 160,000","Jul 11, 2025","Dec 31, 2025",1,"$ 120,000",M,CM,22,
Leon,Luis Cervantes,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",D,RB,24,
Leon,Diego Luna,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",D,CB,24,
Leon,Héctor Uribe,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",F,RW,21,
Leon,Sebastián Santos,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2024","Jun 30, 2026",1,"$ 70,000",M,CM,22,
Leon,Óscar García,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2024","Jun 30, 2026",1,"$ 70,000",K,GK,22,
Leon,Gael García,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jun 19, 2025","Jun 30, 2026",1,"$ 70,000",F,LW,,
