club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Mazatlan,Jefferson Intriago,"$ 15,000","$ 780,000","$ 200,000","$ 980,000","Nov 20, 2023","Dec 31, 2027",2,"$ 1,560,000",M,DM,29,Reserve
Mazatlan,José Esquivel,"$ 13,846","$ 720,000","$ 180,000","$ 900,000","Aug 16, 2023","Jun 30, 2026",1,"$ 720,000",M,DM,27,
Mazatlan,Nicolás Benedetti,"$ 11,923","$ 620,000","$ 160,000","$ 780,000","Jan 1, 2023","Dec 31, 2025",1,"$ 620,000",F,AM,28,Starter
Mazatlan,Alan Torres,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 1, 2024","Jun 30, 2027",2,"$ 1,120,000",M,DM,25,Reserve
Mazatlan,Jordan Sierra,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 1, 2024","Jun 30, 2027",2,"$ 1,120,000",M,CM,28,Starter
Mazatlan,Yoel Bárcenas,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jul 1, 2022","Jun 30, 2026",1,"$ 420,000",F,RW,31,Starter
Mazatlan,Fábio,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jul 21, 2025","Jun 30, 2026",1,"$ 420,000",F,CF,28,Starter
Mazatlan,Mauro Laínez,"$ 7,692","$ 400,000","$ 100,000","$ 500,000","Jul 1, 2024","Jun 30, 2026",1,"$ 400,000",F,LW,29,Starter
Mazatlan,Bryan Colula,"$ 7,692","$ 400,000","$ 100,000","$ 500,000","Apr 19, 2024","Jun 30, 2027",2,"$ 800,000",D,RB,29,Reserve
Mazatlan,Anderson Duarte,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jan 20, 2025","Dec 31, 2025",1,"$ 350,000",F,RW,21,Starter
Mazatlan,Dudu Teodora,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 1, 2025","Jun 30, 2026",1,"$ 300,000",F,CF,26,Reserve
Mazatlan,Facundo Almada,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 1, 2024","Dec 31, 2025",1,"$ 280,000",D,CB,27,Starter
Mazatlan,Daniel Hernández,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 3, 2025","Jun 30, 2026",1,"$ 280,000",F,RW,24,Reserve
Mazatlan,Jair Díaz,"$ 5,192","$ 270,000","$ 70,000","$ 340,000","Jul 1, 2024","Jun 30, 2026",1,"$ 270,000",D,LB,27,Reserve
Mazatlan,Lucas Merolla,"$ 5,192","$ 270,000","$ 70,000","$ 340,000","Jul 1, 2023","Jun 30, 2026",1,"$ 270,000",D,CB,30,Starter
Mazatlan,Ricardo Gutiérrez,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Aug 23, 2023","Jun 30, 2026",1,"$ 250,000",K,GK,28,Starter
Mazatlan,Sebastián Fierro,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 11, 2025","Jun 30, 2026",1,"$ 250,000",M,DM,24,Reserve
Mazatlan,André Alcaráz,"$ 3,846","$ 200,000","$ 50,000","$ 250,000","Jul 17, 2025","Jun 30, 2026",1,"$ 200,000",K,GK,25,Reserve
Mazatlan,Alberto Herrera,"$ 3,846","$ 200,000","$ 50,000","$ 250,000","Jul 3, 2025","Jun 30, 2026",1,"$ 200,000",M,DM,24,Reserve
Mazatlan,Ricardo Rodríguez,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jan 1, 2022","Jun 30, 2026",1,"$ 180,000",K,GK,24,Reserve
Mazatlan,Jorge García,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2025","Jun 30, 2026",1,"$ 170,000",M,DM,23,Reserve
Mazatlan,Yostin Valadez,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jan 1, 2024","Jun 30, 2026",1,"$ 120,000",F,CF,23,Reserve
Mazatlan,Salvador Rodríguez,"$ 1,923","$ 100,000","$ 30,000","$ 130,000","Apr 4, 2024","Jun 30, 2027",2,"$ 200,000",D,LB,24,Reserve
Mazatlan,Ángel Leyva,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",D,CB,18,Starter
Mazatlan,Mauro Zaleta,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Aug 28, 2025","Jun 30, 2026",1,"$ 90,000",M,DM,23,Reserve
Mazatlan,Said Godínez,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jan 1, 2025","Jun 30, 2026",1,"$ 70,000",M,DM,20,Reserve
Mazatlan,Gilberto Adame,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jan 1, 2025","Jun 30, 2026",1,"$ 70,000",F,RW,20,Reserve
Mazatlan,Christopher Castro,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",D,CB,20,Reserve
Mazatlan,Ángel Saavedra,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",F,LW,22,Reserve
