club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Necaxa,Cristian Calderón,"$ 16,346","$ 850,000","$ 210,000","$ 1,060,000","Jul 3, 2025","Jun 30, 2026",1,"$ 850,000",D,LB,28,Starter
Necaxa,José Rodríguez,"$ 12,308","$ 640,000","$ 160,000","$ 800,000","Jan 4, 2025","Jun 30, 2026",1,"$ 640,000",M,DM,29,Starter
Necaxa,Díber Cambindo,"$ 11,538","$ 600,000","$ 150,000","$ 750,000","Jan 7, 2025","Dec 31, 2027",2,"$ 1,200,000",F,CF,29,Starter
Necaxa,Agustín Palavecino,"$ 11,538","$ 600,000","$ 150,000","$ 750,000","Jan 1, 2025","Dec 31, 2029",4,"$ 2,400,000",M,CM,28,Starter
Necaxa,Agustín Oliveros,"$ 11,538","$ 600,000","$ 150,000","$ 750,000","Jun 14, 2023","Jun 30, 2027",2,"$ 1,200,000",D,CB,27,Reserve
Necaxa,Diego de Buen,"$ 9,423","$ 490,000","$ 120,000","$ 610,000","Jan 17, 2025","Jun 30, 2026",1,"$ 490,000",M,DM,34,Reserve
Necaxa,Pável Pérez,"$ 9,423","$ 490,000","$ 120,000","$ 610,000","Jan 2, 2025","Jun 30, 2026",1,"$ 490,000",F,LW,27,Reserve
Necaxa,Johan Rojas,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jul 3, 2025","Dec 31, 2025",1,"$ 350,000",F,AM,22,Starter
Necaxa,Raúl Sánchez,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jul 1, 2025","Jun 30, 2026",1,"$ 350,000",F,LW,27,Reserve
Necaxa,Tomás Jacob,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 15, 2025","Jun 30, 2030",5,"$ 1,500,000",M,CM,21,Starter
Necaxa,Tomás Badaloni,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 31, 2024","Jun 30, 2029",4,"$ 1,200,000",F,CF,25,Starter
Necaxa,Ezequiel Unsain,"$ 5,192","$ 270,000","$ 70,000","$ 340,000","Jul 1, 2023","Jun 30, 2027",2,"$ 540,000",K,GK,30,Starter
Necaxa,Franco Rossano,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2025","Jun 30, 2026",1,"$ 170,000",D,LB,20,Starter
Necaxa,Kevin Rosero,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2024","Jun 30, 2027",2,"$ 340,000",F,RW,26,Starter
Necaxa,Ricardo Monreal,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Sep 8, 2023","Jun 30, 2027",2,"$ 240,000",F,CF,24,Reserve
Necaxa,Emilio Lara,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jul 1, 2025","Jun 30, 2026",1,"$ 120,000",D,RB,23,Starter
Necaxa,Emilio Martínez,"$ 1,923","$ 100,000","$ 30,000","$ 130,000","Jul 1, 2023","Jun 30, 2026",1,"$ 100,000",D,RB,22,Reserve
Necaxa,Diego Gómez,"$ 1,923","$ 100,000","$ 30,000","$ 130,000","Jul 1, 2022","Jun 30, 2026",1,"$ 100,000",M,CM,22,Reserve
Necaxa,Alexis Peña,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2023","Dec 31, 2025",1,"$ 90,000",D,CB,29,Reserve
Necaxa,Luis Jiménez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Dec 31, 2026",1,"$ 90,000",K,GK,21,Reserve
Necaxa,Jesús Alcántar,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2023","Jun 30, 2026",1,"$ 90,000",D,CB,22,Reserve
Necaxa,Rogelio Cortéz,"$ 1,538","$ 80,000","$ 20,000","$ 100,000","Jul 1, 2024","Jun 30, 2026",1,"$ 80,000",F,CF,21,Reserve
Necaxa,Alejandro Andrade,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jan 1, 2023","Jun 30, 2026",1,"$ 70,000",M,DM,24,Reserve
