club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Pachuca,Kenedy,"$ 36,538","$ 1,900,000","$ 480,000","$ 2,380,000","Jun 5, 2025","Jun 30, 2026",1,"$ 1,900,000",F,LW,29,Starter
Pachuca,William Carvalho,"$ 23,077","$ 1,200,000","$ 300,000","$ 1,500,000","Jul 25, 2025","Jun 30, 2026",1,"$ 1,200,000",M,DM,33,Reserve
Pachuca,Enner Valencia,"$ 23,077","$ 1,200,000","$ 300,000","$ 1,500,000","Sep 11, 2025","Dec 31, 2027",2,"$ 2,400,000",F,CF,35,Starter
Pachuca,Oussama Idrissi,"$ 17,692","$ 920,000","$ 230,000","$ 1,150,000","Feb 26, 2025","Jun 30, 2028",3,"$ 2,760,000",F,LW,29,Starter
Pachuca,Javier López,"$ 16,731","$ 870,000","$ 220,000","$ 1,090,000","Jul 18, 2022","Jun 30, 2026",1,"$ 870,000",F,AM,30,Reserve
Pachuca,Eduardo Bauermann,"$ 13,462","$ 700,000","$ 190,000","$ 890,000","Jan 1, 2025","Jun 30, 2026",1,"$ 710,000",D,CB,29,Starter
Pachuca,Luis Quiñones,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jul 1, 2025","Jun 30, 2026",1,"$ 700,000",F,RW,34,Starter
Pachuca,Gustavo Cabral,"$ 13,269","$ 690,000","$ 170,000","$ 860,000","Jan 7, 2023","Jun 30, 2026",1,"$ 690,000",D,CB,39,Reserve
Pachuca,Víctor Guzmán,"$ 11,923","$ 620,000","$ 160,000","$ 780,000","Jul 1, 2025","Jun 30, 2026",1,"$ 620,000",F,AM,30,Reserve
Pachuca,Jhonder Cádiz,"$ 10,769","$ 560,000","$ 140,000","$ 700,000",,"Jun 30, 2027",2,"$ 1,120,000",F,CF,30,Reserve
Pachuca,Sergio Barreto,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jul 1, 2023","Jun 30, 2027",2,"$ 840,000",D,CB,26,Starter
Pachuca,Pedro Pedraza,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jan 2, 2024","Dec 31, 2027",2,"$ 700,000",M,DM,25,Starter
Pachuca,Alonso Aceves,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jan 1, 2022","Jun 30, 2026",1,"$ 350,000",D,LB,24,Starter
Pachuca,Andrés Micolta,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jan 1, 2024","Dec 31, 2027",2,"$ 700,000",D,CB,26,Reserve
Pachuca,Luis Rodríguez,"$ 5,769","$ 300,000","$ 130,000","$ 430,000","Jan 16, 2024","Jun 30, 2026",1,"$ 340,000",D,RB,34,Reserve
Pachuca,Gastón Togni,"$ 6,154","$ 320,000","$ 80,000","$ 400,000","Jul 5, 2025","Jun 30, 2026",1,"$ 320,000",F,LW,27,Reserve
Pachuca,Brian García,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jun 1, 2025","Jun 30, 2026",1,"$ 300,000",D,RB,27,Starter
Pachuca,Carlos Sánchez,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","May 27, 2025","Dec 31, 2028",3,"$ 840,000",D,RB,23,Reserve
Pachuca,Carlos Moreno,"$ 4,615","$ 240,000","$ 60,000","$ 300,000","Aug 15, 2023","Jun 30, 2026",1,"$ 240,000",K,GK,27,Starter
Pachuca,Elías Montiel,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jul 1, 2023","Jun 30, 2026",1,"$ 180,000",M,DM,19,Reserve
Pachuca,Alexéi Domínguez,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jan 1, 2024","Jun 30, 2026",1,"$ 170,000",F,RW,20,Reserve
Pachuca,Pedro Martínez,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 3, 2025","Jun 30, 2026",1,"$ 170,000",D,CB,23,Reserve
Pachuca,Illian Hernández,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2023","Dec 31, 2025",1,"$ 90,000",F,CF,25,Reserve
Pachuca,Jorge Berlanga,"$ 1,538","$ 80,000","$ 20,000","$ 100,000","Jan 1, 2024","Jun 30, 2026",1,"$ 90,000",D,CB,22,Reserve
Pachuca,Alan Bautista,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2023","Jun 30, 2026",1,"$ 70,000",F,AM,23,Reserve
Pachuca,José Eulogio,$ 385,"$ 20,000","$ 10,000","$ 30,000","Jul 1, 2022","Jun 30, 2026",1,"$ 20,000",K,GK,21,Reserve
Pachuca,Israel Luna,$ 385,"$ 20,000","$ 10,000","$ 30,000","Jan 1, 2023","Jun 30, 2026",1,"$ 20,000",F,AM,23,Reserve
