club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Puebla,Lucas Cavallini,"$ 20,385","$ 1,060,000","$ 270,000","$ 1,330,000","Jan 5, 2024","Jun 30, 2026",1,"$ 1,060,000",F,CF,32,Reserve
Puebla,Carlos Baltazar,"$ 11,154","$ 580,000","$ 150,000","$ 730,000","Jul 1, 2025","Jun 30, 2026",1,"$ 580,000",F,AM,28,Starter
Puebla,Nicolás Díaz,"$ 10,962","$ 570,000","$ 140,000","$ 710,000","Jul 1, 2025","Dec 31, 2025",1,"$ 570,000",D,CB,26,Starter
Puebla,Fernando Monárrez,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 6, 2025","Jun 30, 2026",1,"$ 560,000",F,LW,26,Starter
Puebla,Emiliano Gómez,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","May 16, 2025","Jun 30, 2026",1,"$ 560,000",F,SS,23,Starter
Puebla,Franco Moyano,"$ 10,385","$ 540,000","$ 140,000","$ 680,000","Jan 17, 2025","Dec 31, 2025",1,"$ 540,000",M,CM,28,Reserve
Puebla,Ángelo Araos,"$ 9,423","$ 490,000","$ 120,000","$ 610,000","Aug 27, 2025","Jun 30, 2026",1,"$ 490,000",M,AM,28,Reserve
Puebla,Edgar Guerra,"$ 9,423","$ 490,000","$ 120,000","$ 610,000",,"Dec 31, 2026",1,"$ 490,000",F,RW,24,Starter
Puebla,Ricardo Marín,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jan 28, 2025","Jun 30, 2026",1,"$ 420,000",F,CF,27,Starter
Puebla,Julio González,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jan 28, 2025","Dec 31, 2027",2,"$ 840,000",K,GK,34,Starter
Puebla,Alejandro Organista,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 6, 2025","Jun 30, 2026",1,"$ 300,000",M,CM,25,Starter
Puebla,Luis Gabriel Rey,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 1, 2025","Dec 31, 2025",1,"$ 280,000",D,CB,23,Reserve
Puebla,Brayan Garnica,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jan 2, 2025","Jun 30, 2026",1,"$ 250,000",F,RW,29,Reserve
Puebla,Owen González,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 1, 2025","Jun 30, 2026",1,"$ 250,000",F,RW,22,Reserve
Puebla,Jesús Rivas,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jul 2, 2023","Jun 30, 2026",1,"$ 180,000",D,RB,22,Starter
Puebla,Efraín Orona,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jul 1, 2023","Jun 30, 2026",1,"$ 180,000",D,CB,26,Reserve
Puebla,Miguel Ramírez,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 3, 2025","Jul 1, 2026",1,"$ 170,000",M,DM,23,Starter
Puebla,Raúl Castillo,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2024","Jun 30, 2026",1,"$ 170,000",F,AM,24,Reserve
Puebla,Esteban Lozano,"$ 2,885","$ 150,000","$ 40,000","$ 190,000","Jul 1, 2025","Jun 30, 2026",1,"$ 150,000",F,CF,22,Reserve
Puebla,Juan Fedorco,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Feb 3, 2025","Dec 31, 2025",1,"$ 120,000",D,CB,24,Starter
Puebla,Ariel Gamarra,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 11, 2025","Jul 1, 2026",1,"$ 90,000",M,DM,22,Starter
Puebla,José Pachuca,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jan 1, 2025","Jun 30, 2026",1,"$ 70,000",D,CB,20,Reserve
Puebla,Iker Moreno,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 8, 2025","Dec 31, 2025",1,"$ 70,000",F,AM,22,Reserve
Puebla,Walter Portales,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",D,RB,21,Reserve
Puebla,Juan Pablo Gómez,"$ 1,154","$ 60,000","$ 20,000","$ 80,000","Jan 1, 2023","Jun 30, 2026",1,"$ 60,000",K,GK,24,Reserve
Puebla,Jesús Rodríguez,$ 769,"$ 40,000","$ 10,000","$ 50,000","Jul 1, 2018","Jun 30, 2025",1,"$ 40,000",K,GK,32,Reserve
Puebla,Ángel Robles,$ 385,"$ 20,000","$ 10,000","$ 30,000","Jul 1, 2021","Jun 30, 2026",1,"$ 20,000",F,CF,23,Reserve
