club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Pumas UNAM,Aaron Ramsey,"$ 32,692","$ 1,700,000","$ 260,000","$ 1,960,000","Jul 4, 2025","Jun 30, 2026",1,"$ 1,700,000",M,CM,34,Reserve
Pumas UNAM,Keylor Navas,"$ 32,692","$ 1,700,000","$ 300,000","$ 2,000,000","Jul 21, 2025","Jun 30, 2026",1,"$ 1,700,000",K,GK,38,Starter
Pumas UNAM,Rubén Duarte,"$ 19,231","$ 1,000,000","$ 250,000","$ 1,250,000","Jul 9, 2024","Jun 30, 2027",2,"$ 2,000,000",D,CB,29,Reserve
Pumas UNAM,Adalberto Carrasquilla,"$ 17,692","$ 920,000","$ 230,000","$ 1,150,000","Jan 16, 2025","Dec 31, 2027",2,"$ 1,840,000",M,CM,26,Starter
Pumas UNAM,Pedro Vite,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jul 18, 2025","Jul 18, 2029",4,"$ 2,800,000",F,AM,23,Starter
Pumas UNAM,José Macías,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Aug 20, 2025","Feb 28, 2026",1,"$ 700,000",F,CF,25,Starter
Pumas UNAM,Guillermo Martínez,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jan 1, 2024","Dec 31, 2026",1,"$ 700,000",F,CF,30,Reserve
Pumas UNAM,Nathan Silva,"$ 10,385","$ 540,000","$ 140,000","$ 680,000","Jul 1, 2023","Jun 30, 2027",2,"$ 1,080,000",D,CB,28,Starter
Pumas UNAM,Álvaro Angulo,"$ 9,423","$ 490,000","$ 120,000","$ 610,000","Jul 15, 2025","Jun 30, 2028",3,"$ 1,470,000",D,LB,28,Starter
Pumas UNAM,Ulises Rivas,"$ 8,269","$ 430,000","$ 110,000","$ 540,000","Jan 1, 2023","Jun 30, 2026",1,"$ 430,000",M,CM,29,Reserve
Pumas UNAM,José Caicedo,"$ 6,923","$ 360,000","$ 90,000","$ 450,000","Apr 18, 2024","Jun 30, 2027",2,"$ 720,000",M,DM,23,Starter
Pumas UNAM,Alan Medina,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Aug 16, 2025","Aug 16, 2026",1,"$ 280,000",F,RW,28,Starter
Pumas UNAM,Jorge Ruvalcaba,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2022","Jun 30, 2026",1,"$ 170,000",F,LW,24,Starter
Pumas UNAM,Rodrigo López,"$ 2,885","$ 150,000","$ 40,000","$ 190,000","Aug 29, 2023","Jun 30, 2026",1,"$ 150,000",M,CM,23,Reserve
Pumas UNAM,Pablo Bennevendo,"$ 2,885","$ 150,000","$ 40,000","$ 190,000","Jul 1, 2022","Jun 30, 2026",1,"$ 150,000",D,RB,25,Starter
Pumas UNAM,Pablo Lara,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2025","Jun 30, 2026",1,"$ 90,000",K,GK,20,Reserve
Pumas UNAM,Ángel Rico,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2025","Jun 30, 2026",1,"$ 90,000",F,AM,20,Reserve
Pumas UNAM,Ángel Azuaje,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jun 30, 2023","Jun 30, 2026",1,"$ 90,000",D,CB,20,Starter
Pumas UNAM,Pablo Monroy,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2023","Jun 30, 2026",1,"$ 90,000",D,RB,23,Reserve
Pumas UNAM,Santiago López,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2025","Jun 30, 2026",1,"$ 90,000",F,CF,20,Reserve
Pumas UNAM,Santiago Trigos,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2023","Jun 30, 2026",1,"$ 90,000",M,DM,23,Reserve
Pumas UNAM,Rodrigo Parra,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2025","Jun 30, 2026",1,"$ 70,000",K,GK,17,Reserve
