club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Queretaro,Lucas Rodríguez,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jul 3, 2024","Jun 30, 2026",1,"$ 700,000",F,AM,28,Starter
Queretaro,Pablo Barrera,"$ 12,500","$ 650,000","$ 160,000","$ 810,000","Aug 1, 2025","Dec 31, 2025",1,"$ 650,000",F,RW,38,Reserve
Queretaro,Federico Lértora,"$ 12,308","$ 640,000","$ 160,000","$ 800,000","Jul 1, 2024","Jun 30, 2026",1,"$ 640,000",M,DM,35,Reserve
Queretaro,Francisco Venegas,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 1, 2024","Jun 30, 2026",1,"$ 630,000",D,LB,27,Starter
Queretaro,Diego Reyes,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Aug 17, 2025","Jun 30, 2026",1,"$ 560,000",D,CB,32,Starter
Queretaro,Jhojan Julio,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 18, 2025","Jun 30, 2026",1,"$ 560,000",F,AM,27,Starter
Queretaro,Omar Mendoza,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Jan 1, 2021","Jun 30, 2026",1,"$ 350,000",D,RB,36,Reserve
Queretaro,Michael Carcelén,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Sep 12, 2025","Jun 30, 2026",1,"$ 350,000",M,DM,28,Starter
Queretaro,Rodrigo Bogarín,"$ 6,538","$ 340,000","$ 90,000","$ 430,000","Jan 7, 2025","Dec 31, 2025",1,"$ 340,000",F,AM,28,Starter
Queretaro,Alí Ávila,"$ 6,538","$ 340,000","$ 90,000","$ 430,000","Jul 22, 2025","Jun 30, 2026",1,"$ 340,000",F,CF,21,Starter
Queretaro,Guillermo Allison,"$ 5,769","$ 300,000","$ 80,000","$ 380,000","Jul 1, 2023","Jun 30, 2026",1,"$ 300,000",K,GK,34,Starter
Queretaro,Ángel Zapata,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 8, 2025","Jun 30, 2026",1,"$ 280,000",M,DM,24,Starter
Queretaro,Carlos Villanueva,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 22, 2025","Jun 30, 2026",1,"$ 280,000",D,CB,31,Reserve
Queretaro,Santiago Homenchenko,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Aug 9, 2025","Jun 30, 2026",1,"$ 280,000",M,DM,22,Starter
Queretaro,Carlos Valenzuela,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 1, 2025","Jun 30, 2026",1,"$ 280,000",F,LW,28,Reserve
Queretaro,Fernando Piñuelas,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 8, 2025","Jun 30, 2026",1,"$ 280,000",D,CB,27,Reserve
Queretaro,Edson Partida,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jul 1, 2025","Jun 30, 2026",1,"$ 280,000",D,LB,27,Reserve
Queretaro,Carlo García,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Aug 10, 2025","Jun 30, 2026",1,"$ 280,000",M,CM,24,Reserve
Queretaro,Óscar Manzanárez,"$ 5,192","$ 270,000","$ 70,000","$ 340,000","Jul 1, 2023","Jun 30, 2026",1,"$ 270,000",D,CB,30,Reserve
Queretaro,Jaime Gómez,"$ 5,192","$ 270,000","$ 70,000","$ 340,000","Jul 1, 2023","Jun 30, 2026",1,"$ 270,000",D,RB,32,Starter
Queretaro,José Hernández,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jun 24, 2025","Jun 30, 2026",1,"$ 250,000",K,GK,28,Reserve
Queretaro,Jesús Hernández,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 8, 2025","Jun 30, 2026",1,"$ 250,000",F,CF,21,Reserve
Queretaro,Luis Gutiérrez,"$ 3,846","$ 200,000","$ 50,000","$ 260,000","Jul 1, 2025","Jun 30, 2026",1,"$ 210,000",F,LW,23,Reserve
Queretaro,Eduardo Amarrenta,"$ 3,846","$ 200,000","$ 50,000","$ 250,000","Jan 8, 2025","Jun 30, 2026",1,"$ 200,000",M,CM,23,Reserve
Queretaro,Luis Villegas,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2025","Dec 31, 2026",1,"$ 170,000",K,GK,24,Reserve
Queretaro,Bruce El-mesmari,"$ 3,269","$ 170,000","$ 40,000","$ 210,000","Jul 1, 2025","Jun 30, 2026",1,"$ 170,000",F,LW,23,Reserve
Queretaro,Jonathan Perlaza,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jan 6, 2020","Jun 30, 2026",1,"$ 120,000",F,AM,28,Reserve
Queretaro,Fernando González,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jan 8, 2025","Jun 30, 2026",1,"$ 120,000",M,LM,24,Reserve
Queretaro,Aldahir Pérez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 1, 2025","Jun 30, 2026",1,"$ 90,000",F,AM,20,Reserve
