club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Santos Laguna,Choco Lozano,"$ 23,077","$ 1,200,000","$ 300,000","$ 1,500,000","Jul 12, 2024","Jun 30, 2026",1,"$ 1,200,000",F,CF,32,Reserve
Santos Laguna,Hugo Rodríguez,"$ 17,115","$ 890,000","$ 220,000","$ 1,110,000","Mar 8, 2021","Jun 30, 2026",1,"$ 890,000",D,CB,35,Reserve
Santos Laguna,Jesús Ocejo,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Feb 20, 2021","Jun 30, 2026",1,"$ 700,000",F,CF,27,Starter
Santos Laguna,Cristian Dájome,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jan 2, 2025","Jun 30, 2026",1,"$ 700,000",F,LW,31,Starter
Santos Laguna,Fran Villalba,"$ 13,462","$ 700,000","$ 180,000","$ 880,000","Jul 7, 2024","Jun 30, 2027",2,"$ 1,400,000",F,AM,27,Starter
Santos Laguna,José Abella,"$ 12,308","$ 640,000","$ 160,000","$ 800,000","Jan 1, 2025","Jun 30, 2026",1,"$ 640,000",D,RB,31,Starter
Santos Laguna,Édson Gutiérrez,"$ 9,423","$ 490,000","$ 120,000","$ 610,000","Feb 2, 2025","Jun 30, 2026",1,"$ 490,000",D,CB,29,Reserve
Santos Laguna,Kevin Balanta,"$ 8,846","$ 460,000","$ 120,000","$ 580,000","Jul 1, 2025","Jul 1, 2026",1,"$ 460,000",D,CB,28,Starter
Santos Laguna,Kevin Palacios,"$ 8,077","$ 420,000","$ 210,000","$ 630,000","Jul 10, 2025","Jun 30, 2029",4,"$ 1,680,000",F,LW,25,Starter
Santos Laguna,Javier Güemez,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jan 1, 2025","Dec 31, 2026",1,"$ 420,000",M,DM,33,Starter
Santos Laguna,Carlos Acevedo,"$ 6,923","$ 360,000","$ 90,000","$ 450,000","Jul 31, 2022","Jun 30, 2027",2,"$ 720,000",K,GK,29,Starter
Santos Laguna,Bruno Amione,"$ 6,731","$ 350,000","$ 90,000","$ 440,000","Feb 1, 2024","Jun 30, 2026",1,"$ 350,000",D,CB,23,Starter
Santos Laguna,Franco Fagúndez,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 1, 2024","Dec 31, 2027",2,"$ 560,000",F,SS,25,Reserve
Santos Laguna,Aldo López,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 1, 2022","Jun 30, 2026",1,"$ 250,000",M,DM,25,Reserve
Santos Laguna,Ramiro Sordo,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jan 18, 2024","Dec 31, 2027",2,"$ 500,000",F,RW,25,Reserve
Santos Laguna,Jair González,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jan 3, 2022","Jun 30, 2026",1,"$ 180,000",F,LW,23,Reserve
Santos Laguna,Diego Medina,"$ 2,885","$ 150,000","$ 40,000","$ 190,000","Jan 3, 2022","Jun 30, 2026",1,"$ 150,000",F,RW,24,Reserve
Santos Laguna,Bruno Barticciotto,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Feb 3, 2025","Dec 31, 2025",1,"$ 120,000",F,CF,24,Reserve
Santos Laguna,Haret Ortega,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jul 1, 2025","Jun 30, 2026",1,"$ 120,000",D,CB,25,Starter
Santos Laguna,Jordán Carrillo,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2021","Jun 30, 2025",1,"$ 90,000",F,LW,23,Reserve
Santos Laguna,Salvador Mariscal,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2024","Jun 30, 2026",1,"$ 70,000",M,DM,22,Starter
Santos Laguna,Emmanuel Echeverría,"$ 1,346","$ 70,000","$ 20,000","$ 90,000","Jul 1, 2024","Jun 30, 2026",1,"$ 70,000",D,LB,21,Reserve
Santos Laguna,Ronaldo Prieto,$ 962,"$ 50,000","$ 20,000","$ 70,000","Jul 10, 2020","Jun 30, 2026",1,"$ 50,000",M,CM,28,Reserve
Santos Laguna,Héctor Holguín,$ 385,"$ 20,000","$ 10,000","$ 30,000","Feb 3, 2022","Jun 30, 2026",1,"$ 20,000",K,GK,24,Reserve
