club_name,player_name,gross_salary_per_week,gross_salary_per_year,gross_bonus_per_year,total_gross_salary,signed,contract_expiration,years_remaining,gross_salary_remaining,position,position_detailed,player_age,status
Tijuana,Domingo Blanco,"$ 15,000","$ 780,000","$ 200,000","$ 980,000","Jul 1, 2024","Jun 30, 2027",2,"$ 1,560,000",F,RW,30,Reserve
Tijuana,Jesús Corona,"$ 13,846","$ 720,000","$ 180,000","$ 900,000","Jul 1, 2023","Jun 30, 2026",1,"$ 720,000",K,GK,44,Reserve
Tijuana,Jackson Porozo,"$ 13,077","$ 680,000","$ 170,000","$ 850,000","Jan 30, 2025","Dec 31, 2025",1,"$ 680,000",D,CB,25,Starter
Tijuana,Mourad El Ghezouani,"$ 12,115","$ 630,000","$ 160,000","$ 790,000","Sep 9, 2025","Jun 30, 2026",1,"$ 630,000",F,CF,27,Starter
Tijuana,Shamar Nicholson,"$ 12,115","$ 630,000","$ 160,000","$ 790,000","Feb 2, 2025","Jun 30, 2026",1,"$ 630,000",F,CF,28,Reserve
Tijuana,Ezequiel Bullaude,"$ 12,115","$ 630,000","$ 160,000","$ 790,000","Sep 10, 2025","Jun 30, 2026",1,"$ 630,000",F,AM,24,Reserve
Tijuana,Frank Boya,"$ 10,962","$ 570,000","$ 140,000","$ 710,000","Feb 3, 2025","Jun 30, 2027",2,"$ 1,140,000",M,DM,29,Starter
Tijuana,Unai Bilbao,"$ 10,769","$ 560,000","$ 140,000","$ 700,000","Jul 1, 2024","Jun 30, 2027",2,"$ 1,120,000",D,CB,31,Reserve
Tijuana,Adonis Preciado,"$ 8,654","$ 450,000","$ 110,000","$ 560,000","Jul 3, 2025","Jun 30, 2026",1,"$ 450,000",F,RW,28,Starter
Tijuana,Vitinho,"$ 8,077","$ 420,000","$ 110,000","$ 530,000","Jul 16, 2025","Jun 30, 2026",1,"$ 420,000",F,RW,24,Reserve
Tijuana,Joe Corona,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Jan 12, 2024","Jun 30, 2026",1,"$ 280,000",M,CM,35,Starter
Tijuana,Kevin Escamilla,"$ 5,385","$ 280,000","$ 70,000","$ 350,000","Aug 29, 2025","Jun 30, 2026",1,"$ 280,000",M,DM,31,Reserve
Tijuana,Josué Reyes,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 7, 2025","Jun 30, 2026",1,"$ 250,000",D,CB,27,Reserve
Tijuana,Salim Hernández,"$ 4,808","$ 250,000","$ 60,000","$ 310,000","Jul 7, 2025","Jun 30, 2026",1,"$ 250,000",K,GK,26,Reserve
Tijuana,Iván Tona,"$ 4,615","$ 240,000","$ 60,000","$ 300,000","Jul 1, 2023","Jun 30, 2026",1,"$ 240,000",M,CM,25,Starter
Tijuana,Alan Vega,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jul 1, 2023","Jun 30, 2026",1,"$ 180,000",D,LB,25,Starter
Tijuana,Ramiro Arciga,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jan 1, 2025","Jun 30, 2026",1,"$ 180,000",M,RM,21,Starter
Tijuana,Pablo Ortiz,"$ 3,462","$ 180,000","$ 50,000","$ 230,000","Jun 9, 2025","Jun 30, 2026",1,"$ 180,000",D,LB,23,Reserve
Tijuana,David Osuna,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jul 1, 2025","Jun 30, 2026",1,"$ 120,000",D,CB,22,Reserve
Tijuana,Antonio Rodríguez,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jan 1, 2023","Jun 30, 2026",1,"$ 120,000",K,GK,33,Starter
Tijuana,Aarón Mejía,"$ 2,308","$ 120,000","$ 30,000","$ 150,000","Jul 1, 2023","Jun 30, 2026",1,"$ 90,000",D,RB,24,Reserve
Tijuana,Francisco Contreras,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2022","Jun 30, 2026",1,"$ 90,000",D,LB,26,Reserve
Tijuana,Rafael Inzunza,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2023","Jun 30, 2026",1,"$ 90,000",D,CB,25,Starter
Tijuana,Ramiro Franco,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 8, 2025","Dec 31, 2025",1,"$ 90,000",D,CB,21,Reserve
Tijuana,Alejandro Gómez,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jan 11, 2024","Jun 30, 2026",1,"$ 90,000",D,CB,23,Reserve
Tijuana,Gilberto Mora,"$ 1,731","$ 90,000","$ 20,000","$ 110,000","Jul 1, 2024","Jun 30, 2026",1,"$ 90,000",F,AM,16,Reserve
Tijuana,Kevin Castañeda,"$ 1,154","$ 60,000","$ 20,000","$ 80,000","Jul 1, 2022","Jun 30, 2026",1,"$ 60,000",F,AM,25,Starter
