team_name,player_id,player_name,Score_Effectiveness_25,Score_Area_Domination_25,Score_Foot_Play_25,Score_Outside_Box_25,Score_Overall_25,Score_Effectiveness_26,Score_Area_Domination_26,Score_Foot_Play_26,Score_Outside_Box_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Tigres UANL,28561,Nahuel Ignacio Guzmán Palomeque,78.125,55.357142857142854,37.85714285714286,91.07142857142858,69.47321428571429,84.34782608695652,82.6086956521739,81.73913043478262,89.13043478260869,84.32608695652173,81.35551242236025,0.032
Monterrey,36945,Luis Alberto Cárdenas López,47.41071428571429,83.92857142857142,26.42857142857143,66.07142857142857,54.36607142857143,78.80434782608695,65.21739130434783,56.5217391304348,78.26086956521739,72.66304347826087,69.00364906832299,0.009
Cruz Azul,36935,Andrés Guillermo Gudiño Portillo,,,,,,53.69565217391305,80.43478260869566,74.78260869565217,91.30434782608695,67.84782608695653,67.84782608695653,0.01
León,34263,Alfonso Blanco Antúnez,85.80357142857143,67.85714285714286,42.85714285714286,30.357142857142858,67.45535714285715,,,,,,67.45535714285715,0.015
Club América,28522,Rodolfo Cota Robles,85.44642857142857,62.5,35.0,35.714285714285715,65.83035714285714,,,,,,65.83035714285714,0.012
Tijuana,26388,José de Jesús Corona Rodríguez,55.98214285714286,73.21428571428572,40.714285714285715,91.07142857142858,62.401785714285715,,,,,,62.401785714285715,0.047
Tijuana,27893,José Antonio Rodríguez Romero,65.26785714285714,25.0,75.0,100.0,63.88392857142857,48.26086956521739,50.0,73.91304347826087,100.0,60.21739130434783,60.95069875776397,0.006
Cruz Azul,78134,Kevin Leonardo Mier Robles,62.58928571428571,82.14285714285714,75.00000000000001,96.42857142857144,73.43749999999999,48.69565217391305,63.04347826086957,51.30434782608696,86.95652173913044,57.69565217391305,60.84402173913043,0.02
Pachuca,38338,Carlos Agustín Moreno Luna,44.37500000000001,53.57142857142857,47.14285714285714,16.07142857142857,42.38392857142858,47.826086956521735,89.13043478260869,68.69565217391305,73.91304347826086,63.13043478260869,58.98113354037267,0.016
Toluca,37592,Luis Manuel García Palomera,36.517857142857146,78.57142857142857,51.42857142857143,28.57142857142857,45.97321428571429,82.82608695652173,52.17391304347826,43.478260869565226,23.91304347826087,61.95652173913043,58.7598602484472,0.002
Mazatlán,49982,Ricardo Daniel Gutiérrez Hernández,,,,,,68.80434782608695,36.95652173913044,66.95652173913042,45.65217391304349,58.68478260869565,58.68478260869565,0.027
Toluca,26303,Hugo Alfonso González Durán,74.01785714285714,32.142857142857146,51.42857142857143,51.785714285714285,58.91964285714286,55.434782608695656,67.3913043478261,55.65217391304349,56.52173913043478,58.02173913043479,58.2013198757764,0.012
León,198553,Oscar García,,,,,,73.47826086956522,43.47826086956522,34.78260869565218,45.65217391304349,57.50000000000001,57.50000000000001,0.003
Atlético San Luis,131123,Andrés Eduardo Sánchez Rodríguez,59.73214285714286,33.92857142857143,35.714285714285715,33.92857142857143,47.098214285714285,53.3695652173913,82.6086956521739,40.869565217391305,30.434782608695652,53.90217391304347,52.54138198757763,0.032
