team_name,player_name,Score_AccionDefensiva_25,Score_ControlDefensivo_25,Score_Progresion_25,Score_ImpactoOfensivo_25,Score_Overall_25,Score_AccionDefensiva_26,Score_ControlDefensivo_26,Score_Progresion_26,Score_ImpactoOfensivo_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Club América,Israel Reyes Romero,67.47537878787878,62.41496598639455,81.68995859213251,73.8095238095238,68.67452349022612,50.209279113944426,86.39455782312925,83.19444444444444,74.2063492063492,75.48939460841808,74.12642038477969,0.015
Guadalajara,Daniel Aguirre,,,,,,36.455026455026456,89.3424036281179,68.25396825396824,75.59523809523809,70.52815570672713,70.52815570672713,0.009
Cruz Azul,Gonzalo Rubén Piovi,21.039915966386552,95.06802721088437,88.34109730848863,65.32738095238095,72.24154879343043,26.819923371647505,87.3015873015873,84.96031746031747,70.63492063492063,70.04625068418171,70.48531030603145,0.01
Pumas UNAM,Rubén Duarte Sánchez,38.721988795518214,84.01360544217685,83.0771221532091,61.60714285714286,70.26275836421524,61.55381692907047,65.5328798185941,72.30158730158732,63.69047619047618,65.70761523000004,66.6186438568431,0.139
Cruz Azul,Erik Antonio Lira Méndez,56.68417366946779,85.03401360544218,63.77070393374741,47.470238095238095,69.93751413608922,62.394153063524264,73.69614512471654,56.76587301587302,50.99206349206349,65.21418452438446,66.15885044672541,0.036
Cruz Azul,Willer Emilio Ditta Pérez,49.36661255411256,79.2517006802721,78.94409937888199,54.31547619047619,69.2252859394746,49.719887955182074,72.33560090702947,71.24183006535947,55.55555555555555,64.78491396558623,65.6729883603639,0.02
Puebla,Nicolás Andrés Díaz Huincales,,,,,,51.97527286776779,70.9750566893424,71.24183006535947,61.11111111111111,65.29207085132903,65.29207085132903,0.038
Tigres UANL,Romulo Zanre Zwarg,30.56372549019608,63.60544217687074,60.6444099378882,27.67857142857143,51.16011948257563,76.91329405325348,73.92290249433107,61.62698412698413,38.69047619047619,68.68807408020679,65.18248316068056,0.063
Guadalajara,Luis Francisco Romo Barrón,,,,,,44.32692617276796,73.24263038548752,76.98412698412699,50.99206349206349,64.53694696269312,64.53694696269312,0.154
Cruz Azul,Jesús Gilberto Orozco Chiquete,44.72338935574229,76.0204081632653,61.625258799171846,54.61309523809524,63.176392296048846,45.96091310087253,69.38775510204081,84.1468253968254,52.18253968253968,64.76233711875555,64.44514815421421,0.229
Guadalajara,Miguel Ángel Tapias Dávila,53.84803921568628,80.44217687074828,57.913165266106446,31.10119047619048,64.35374149659863,,,,,,64.35374149659863,0.037
Club América,Sebastián Enzo Cáceres Ramos,36.7064393939394,69.38775510204081,43.703416149068325,24.85119047619047,51.62690192183592,62.114041018706345,72.7891156462585,69.28104575163398,46.82539682539682,66.82236112835938,63.78326928705468,0.022
Club América,Igor Lichnovsky Osorio,,,,,,72.61824269937861,64.62585034013605,46.125116713352,63.095238095238095,62.77074048010008,62.77074048010008,0.031
Pachuca,Sergio Damián Barreto,58.85504201680673,34.52380952380952,23.109243697478988,37.79761904761905,38.651085434173666,71.4977945201069,79.13832199546485,54.901960784313715,40.27777777777778,68.49486346262641,62.526107856935866,0.031
Guadalajara,Diego Campillo Del Campo,,,,,,39.705077433272166,68.48072562358276,75.48611111111111,64.48412698412699,62.2882308095652,62.2882308095652,0.052
Toluca,Andrés Federico Pereira Castelnoble,31.894257703081234,68.53741496598639,63.24016563146998,62.79761904761905,57.74319619152008,48.995460253066746,73.24263038548752,57.12301587301587,65.07936507936508,63.14058841927575,62.06110997372462,0.026
Pachuca,Eduardo Gabriel dos Santos Bauermann,64.52731092436974,73.46938775510203,24.156314699792965,51.041666666666664,59.12848182751361,78.38307736887857,72.56235827664399,35.85434173669467,33.13492063492063,62.73319097754044,62.01224914753507,0.049
Juárez,Moises Castillo Mosquera,55.6967787114846,66.3265306122449,57.002801120448176,57.29166666666666,60.90086034413765,64.9151614668856,71.20181405895691,50.60690943043883,37.698412698412696,62.16082984918105,61.90883594817237,0.013
Monterrey,John Stefan Medina Ramírez,34.24019607843137,80.95238095238095,88.60766045548655,58.482142857142854,68.55836682499087,46.89461991693229,61.22448979591836,74.0079365079365,44.24603174603175,58.50086586358681,60.51236605586762,0.015
Pumas UNAM,Nathanael Ananias da Silva,34.87044817927171,58.33333333333333,47.02122153209109,52.38095238095237,49.609951589331374,75.6527898515728,54.6485260770975,66.94677871148458,55.55555555555555,62.44994549543954,59.88194671421791,0.037
Atlético San Luis,Miguel Alonso García Álvarez,76.26984126984128,43.707482993197274,63.51540616246499,80.35714285714286,59.474623182606365,,,,,,59.474623182606365,0.096
Necaxa,Emilio Lara Contreras,77.2093837535014,71.93877551020408,70.51820728291315,42.11309523809524,69.98974589835933,21.777906564924823,76.19047619047618,64.05228758169933,34.920634920634924,56.03271193534883,58.82411872795093,0.01
