team_name,player_id,player_name,Score_Finalizacion_25,Score_Presionante_25,Score_Conector_25,Score_Disruptivo_25,Score_Overall_25,Score_Finalizacion_26,Score_Presionante_26,Score_Conector_26,Score_Disruptivo_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Guadalajara,327343,Armando González Alba,,,,,,89.3609022556391,58.29081632653062,56.60714285714286,79.46428571428571,75.59129967776585,75.59129967776585,0.002
Cruz Azul,26353,Ángel Baltazar Sepúlveda Sánchez,62.01372997711671,25.000000000000004,53.913043478260875,39.34782608695651,50.620709382151034,86.80451127819549,73.08673469387755,72.32142857142857,55.535714285714285,73.99476369495167,69.31995283239155,0.014
Monterrey,30943,Roberto Carlos De La Rosa González,47.59725400457666,82.80632411067195,88.80434782608697,69.34782608695653,66.85757749115874,,,,,,66.85757749115874,0.037
Club América,30944,Víctor Alejandro Dávila Zavala,64.96567505720824,43.86645962732919,69.67391304347825,67.3913043478261,64.6392203334423,,,,,,64.6392203334423,0.068
Toluca,87434,Robert Osmar Morales Benítez,56.10983981693363,84.58498023715416,84.45652173913044,57.17391304347826,66.31004264614104,49.43609022556392,90.74675324675324,56.78571428571428,78.03571428571428,62.55446855775803,63.30558337543463,0.01
Tigres UANL,20041,André-Pierre Gignac,63.20366132723112,29.74308300395257,58.69565217391303,60.326086956521735,58.0112076138964,56.616541353383454,60.55194805194806,74.64285714285715,52.50000000000001,60.487525632262475,59.992262028589266,0.113
Atlético San Luis,271974,Yan Phillipe Oliveira Lemos,27.185354691075517,68.08300395256917,81.95652173913042,83.36956521739131,59.01396401081756,,,,,,59.01396401081756,0.009
Tijuana,241323,Gilberto Rafael Mora Zambrano,,,,,,31.390977443609025,40.74675324675326,88.21428571428572,80.71428571428571,58.8632091592618,58.8632091592618,0.005
Monterrey,28764,Germán Berterame,70.68649885583525,21.442687747035578,43.80434782608696,56.84782608695651,55.58191179529853,55.03759398496241,22.564935064935064,60.357142857142854,74.82142857142858,58.06617395762133,57.569321525156774,0.036
Club América,276020,José Raúl Zúñiga Murillo,81.02974828375287,37.84584980237154,60.8695652173913,73.58695652173914,69.8106147285209,61.31578947368422,74.83766233766234,48.75,39.285714285714285,54.019010594668494,57.17733142143898,0.061
Guadalajara,27901,Alan Pulido Izaguirre,60.526315789473685,43.67588932806324,60.97826086956521,51.84782608695653,56.78463698772624,,,,,,56.78463698772624,0.053
Cruz Azul,30294,Gabriel Matías Fernández Leites,70.52631578947368,83.49802371541503,65.0,73.4782608695652,71.17989390472228,67.4436090225564,61.201298701298704,41.78571428571429,35.17857142857142,52.338644907723854,56.10689470712354,0.031
Pumas UNAM,275441,Rodrigo López Quiñones,,,,,,17.368421052631582,45.292207792207805,88.74999999999999,88.57142857142857,55.80694634313055,55.80694634313055,0.01
León,26318,Rogelio Gabriel Funes Mori,58.64988558352403,55.23715415019762,60.7608695652174,45.54347826086957,55.55975660495112,,,,,,55.55975660495112,0.041
