team_name,player_id,player_name,Score_CompromisoDef_25,Score_Desequilibrio_25,Score_Finalizacion_25,Score_ZonaInfluencia_25,Score_Overall_25,Score_CompromisoDef_26,Score_Desequilibrio_26,Score_Finalizacion_26,Score_ZonaInfluencia_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Tigres UANL,15452,Carlos Uriel Antuna Romero,71.71945701357467,81.02943568059847,81.44230769230768,99.32692307692308,82.03592466015516,,,,,,82.03592466015516,0.106
Toluca,26301,Ernesto Alexis Vega Rojas,39.14027149321267,58.51866157098715,73.26923076923077,92.3076923076923,64.1365089254111,55.806938159879344,82.98368298368298,84.87179487179488,98.2051282051282,80.39798436857261,77.1456892799403,0.03
Pachuca,8357,Oussama Idrissi,49.0950226244344,69.04984550333387,34.32692307692308,77.40384615384615,55.89510429720758,67.72247360482655,70.93531468531468,78.20512820512822,77.3076923076923,73.42954716851776,69.92265859425572,0.063
Club América,30736,Paul Brian Rodríguez Bravo,36.76470588235294,57.601845828590015,89.32692307692308,40.57692307692308,60.39820260109247,57.01357466063349,74.73776223776224,73.97435897435898,76.7948717948718,71.27247017688195,69.09761666172406,0.023
Guadalajara,390511,Jonathan Yael Padilla Sandoval,77.60180995475113,54.86512034477151,79.71153846153845,48.55769230769231,65.92026949623563,,,,,,65.92026949623563,0.002
Cruz Azul,41268,Luka Romero Bezzana,80.42986425339367,77.00794844690192,58.076923076923066,33.84615384615385,65.5387548070944,,,,,,65.5387548070944,0.038
Pumas UNAM,90826,Pedro Jeampierre Vite Uca,,,,,,66.96832579185521,71.02255174544332,56.15384615384615,68.07692307692308,65.30925057696851,65.30925057696851,0.098
Tigres UANL,31985,Jonathan Ozziel Herrera Morales,72.05882352941177,53.56917791510814,59.51923076923078,13.942307692307692,53.10809236078559,69.23076923076924,53.001165501165495,92.17948717948718,47.17948717948717,67.127331002331,64.32348327402192,0.008
Tigres UANL,161874,Marcelo Flores,73.98190045248869,63.95653764839811,62.21153846153846,51.15384615384615,63.517706728975526,,,,,,63.517706728975526,0.006
Pachuca,3666,Robert Kenedy Nunes do Nascimento,,,,,,78.73303167420814,56.626506024096386,47.94871794871794,64.1025641025641,59.565883443275354,59.565883443275354,0.13
Tigres UANL,22915,Diego Lainez Leyva,40.83710407239819,67.03427386566922,39.51923076923077,72.21153846153845,54.316916667463865,62.59426847662142,74.25699300699301,39.1025641025641,67.17948717948718,60.31649355546415,59.11657817786409,0.049
Cruz Azul,42545,Mateusz Bogusz,65.27149321266968,43.971072532119045,68.65384615384616,67.01923076923076,59.09321249031406,,,,,,59.09321249031406,0.21
Mazatlán,27356,Nicolás Benedetti Roa,44.909502262443446,58.42108472922427,53.84615384615385,89.03846153846153,58.93889549233256,,,,,,58.93889549233256,0.068
Toluca,29408,Jesús Ricardo Angulo Uriarte,,,,,,37.25490196078432,61.82983682983683,64.87179487179488,68.2051282051282,58.78373097490744,58.78373097490744,0.018
Guadalajara,35477,Cade Dylan Cowell,56.90045248868778,43.814034802406894,78.07692307692308,56.15384615384615,58.56115652473382,,,,,,58.56115652473382,0.03
Guadalajara,422651,Hugo Camberos Figueroa,74.09502262443439,63.94810009267841,40.67307692307692,52.21153846153847,57.23449340347817,,,,,,57.23449340347817,0.002
