team_name,player_id,player_name,Score_Profundidad_25,Score_Calidad_25,Score_Presion_25,Score_Def_Exec_25,Score_Def_OBV_25,Score_Defensivo_25,Score_Overall_25,Score_Profundidad_26,Score_Calidad_26,Score_Presion_26,Score_Def_Exec_26,Score_Def_OBV_26,Score_Defensivo_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Pachuca,298594,Carlos Adrián Sánchez Nava,95.0,87.38461538461539,75.23076923076923,64.62903109961934,84.0,72.3774186597716,84.23702219349279,,,,,,,,84.23702219349279,0.019
Cruz Azul,75536,Omar Antonio Campos Chagoya,,,,,,,,100.0,55.0,90.65217391304348,84.85507246376811,63.04347826086956,76.13043478260869,79.85652173913044,79.85652173913044,0.093
Guadalajara,30538,Richard Ledezma,,,,,,,,94.42934782608695,83.91304347826086,76.08695652173913,31.52173913043478,71.73913043478261,47.608695652173914,78.24184782608695,78.24184782608695,0.025
Necaxa,189420,Johan Rojas Echavarría,100.0,48.46153846153845,98.0,65.57925734396323,53.53846153846154,60.76293902176256,76.29104934281405,,,,,,,,76.29104934281405,0.03
Toluca,56516,Santiago Simón,,,,,,,,89.40217391304347,71.19565217391305,70.65217391304348,46.75716440422323,53.69565217391305,49.532559512099155,72.21629451111548,72.21629451111548,0.032
Pachuca,28562,Luis Alfonso Rodríguez Alanís,68.75,81.15384615384616,69.58579881656806,63.285103785103786,44.76923076923077,55.87875457875458,70.06406452521838,,,,,,,,70.06406452521838,0.023
Puebla,62800,Edgar Andrés Guerra Hernández,78.84615384615384,47.99999999999999,90.61538461538464,67.2534654887596,71.07692307692307,68.78284852402498,69.93349278172808,,,,,,,,69.93349278172808,0.032
Tigres UANL,27153,Javier Ignacio Aquino Carmona,80.67307692307692,83.53846153846153,55.07692307692308,77.13136536665948,48.76923076923077,65.78651152768799,73.43614845938376,87.5,64.34782608695653,37.173913043478265,76.74437668043805,70.32608695652175,74.17706079087154,67.82454259295692,68.94686376624229,0.026
Tijuana,45016,Francisco Contreras Báez,71.92307692307692,55.92307692307691,95.23076923076924,52.72857861093154,60.53846153846153,55.85253178194354,68.5705063563887,,,,,,,,68.5705063563887,0.005
Cruz Azul,35856,Carlos Rodolfo Rotondi,78.75,64.99999999999999,60.15384615384615,32.457085398261874,45.846153846153854,37.81271277741867,62.71831178625297,87.90760869565217,54.13043478260869,94.7826086956522,38.44514394386517,47.60869565217392,42.110564627188666,69.99004770804643,68.53570052368774,0.022
Puebla,276113,Fernando Monárrez Ochoa,,,,,,,,80.43478260869566,64.78260869565217,79.56521739130436,50.28985507246377,33.91304347826087,43.73913043478261,68.22608695652174,68.22608695652174,0.074
