player_name,team_name,minutes,matches,Score_Overall,Score_AccionDefensiva,Score_ControlDefensivo,Score_Progresion,Score_ImpactoOfensivo,Flags
Gonzalo Rubén Piovi,Cruz Azul,3035.0,32.0,72.24154879343043,21.039915966386552,95.06802721088435,88.34109730848863,65.32738095238095,Control Def | Progresión | Ofensivo
Rubén Duarte Sánchez,Pumas UNAM,2784.0,29.0,70.26275836421524,38.721988795518214,84.01360544217685,83.0771221532091,61.60714285714286,Control Def | Progresión | Ofensivo
Emilio Lara Contreras,"América, Necaxa",2230.0,24.0,69.98974589835933,77.2093837535014,71.93877551020408,70.51820728291315,42.11309523809524,Acción Def | Control Def | Progresión
Erik Antonio Lira Méndez,"Atlético San Luis, Cruz Azul",3348.0,36.0,69.93751413608922,56.68417366946779,85.03401360544218,63.77070393374741,47.470238095238095,Control Def | Progresión
Guido Hernán Pizarro,Tigres UANL,2555.0,26.0,69.34795758718506,43.57927489177489,88.43537414965986,62.854554865424426,60.863095238095234,Control Def | Ofensivo
Willer Emilio Ditta Pérez,Cruz Azul,3818.0,40.0,69.2252859394746,49.36661255411256,79.2517006802721,78.94409937888199,54.31547619047619,Control Def | Progresión
Israel Reyes Romero,América,3372.0,36.0,68.67452349022612,67.47537878787878,62.41496598639455,81.68995859213251,73.8095238095238,Acción Def | Progresión | Ofensivo
John Stefan Medina Ramírez,Monterrey,3371.0,37.0,68.55836682499087,34.24019607843137,80.95238095238095,88.60766045548655,58.482142857142854,Control Def | Progresión | Ofensivo
Sergio Ramos García,Monterrey,736.0,8.0,67.92797988760721,80.71428571428571,52.551020408163254,83.30486542443064,74.40476190476191,Acción Def | Progresión | Ofensivo
Jaine Stiven Barreiro Solis,León,3481.0,36.0,67.64509390712807,72.4404761904762,64.79591836734693,71.82453416149069,60.119047619047606,Acción Def | Control Def | Progresión | Ofensivo
Sebastián Ignacio Vegas Orellana,Monterrey,781.0,8.0,65.00597847834786,40.78781512605042,77.04081632653062,75.9265010351967,49.55357142857142,Control Def | Progresión
Miguel Ángel Tapias Dávila,Guadalajara,875.0,9.0,64.35374149659863,53.84803921568628,80.44217687074828,57.913165266106446,31.101190476190478,Control Def
Jesús Gilberto Orozco Chiquete,"Cruz Azul, Guadalajara",2963.0,32.0,63.176392296048846,44.72338935574229,76.0204081632653,61.625258799171846,54.61309523809524,Control Def
Jesús Alejandro Gómez Molina,"Pachuca, Tijuana",2462.0,29.0,61.347233458600826,48.5609243697479,62.58503401360544,73.52225672877846,63.39285714285715,Control Def | Progresión | Ofensivo
Everardo López,Toluca,725.0,8.0,61.143519907963174,46.67016806722688,71.7687074829932,63.09523809523809,45.61011904761905,Control Def
Moises Castillo Mosquera,"Juárez, Toluca",2056.0,22.0,60.90086034413765,55.6967787114846,66.3265306122449,57.002801120448176,57.29166666666666,Control Def
Miguel Alonso García Álvarez,Atlético San Luis,814.0,9.0,59.474623182606365,76.26984126984128,43.707482993197274,63.51540616246499,80.35714285714286,Acción Def | Ofensivo
Diego Antonio Reyes Rosales,Tigres UANL,1207.0,13.0,59.38888680472188,83.8065476190476,53.061224489795904,50.70028011204482,44.19642857142857,Acción Def
Eduardo Gabriel dos Santos Bauermann,Pachuca,1640.0,17.0,59.12848182751361,64.52731092436974,73.46938775510203,24.156314699792965,51.041666666666664,Acción Def | Control Def
Adonis Uriel Frías,León,988.0,11.0,58.921485260770964,17.896825396825395,78.40136054421768,64.28571428571429,63.0952380952381,Control Def | Progresión | Ofensivo
Aldo Jafid Cruz Sánchez,Atlético San Luis,2871.0,31.0,58.63976025192685,44.42927170868348,62.58503401360544,69.53933747412009,54.61309523809524,Control Def | Progresión
Jair Alberto Díaz Vázquez,Mazatlán,2024.0,24.0,58.461010491152976,52.5875350140056,60.54421768707483,64.37888198757764,51.9345238095238,Progresión
Antonio Briseño Vázquez,"Guadalajara, Toluca",966.0,10.0,57.94926303854875,87.57936507936508,40.30612244897959,52.38095238095238,74.40476190476191,Acción Def | Ofensivo
Andrés Federico Pereira Castelnoble,Toluca,2912.0,31.0,57.74319619152008,31.894257703081234,68.53741496598639,63.24016563146998,62.79761904761905,Control Def | Ofensivo
Kevin Alexander Balanta Lucumí,Tijuana,851.0,11.0,56.8576126102615,63.406862745098046,46.25850340136054,72.74844720496895,56.39880952380952,Progresión
Eduardo Águila Castro,Atlético San Luis,3263.0,34.0,56.505084815546766,75.08089826839827,54.76190476190476,32.64751552795031,65.62499999999999,Acción Def | Ofensivo
Bruno Méndez Cittadini,Toluca,1939.0,21.0,54.23600309689093,48.420868347338946,55.4421768707483,63.36438923395446,45.089285714285715,Balanceado
Daniel Alonso Aceves Patiño,Pachuca,1588.0,17.0,54.222968164538536,52.49161255411256,50.680272108843525,66.24649859943978,50.44642857142858,Progresión
Néstor Alejandro Araújo Razo,América,1240.0,14.0,53.969866207352496,80.63375350140055,45.91836734693877,30.696169772256727,70.08928571428571,Acción Def | Ofensivo
Ramón Juárez Del Castillo,América,2697.0,29.0,53.858293317326925,44.56932773109244,62.58503401360544,38.16526610644257,69.19642857142857,Control Def | Ofensivo
Lisandro Magallán,Pumas UNAM,2220.0,24.0,53.70441763661985,63.72198879551821,52.72108843537414,46.58643892339544,47.32142857142856,Balanceado
Héctor Alfredo Moreno Herrera,Monterrey,1666.0,19.0,52.46770991005097,31.053921568627455,55.27210884353741,68.50414078674949,61.30952380952381,Progresión | Ofensivo
